Disease,Description,Symptoms,Diet,Medication,workout,Precautions
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"[('acidity', 3), ('vomiting', 5), ('cough', 4), ('stomach_pain', 5), ('ulcers_on_tongue', 4)]","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",Consume smaller meals,"['exercise', 'avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"[('acidity', 3), ('vomiting', 5), ('cough', 4), ('stomach_pain', 5), ('ulcers_on_tongue', 4)]","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","Avoid trigger foods (spicy, fatty)","['exercise', 'avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"[('acidity', 3), ('vomiting', 5), ('cough', 4), ('stomach_pain', 5), ('ulcers_on_tongue', 4)]","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",Eat high-fiber foods,"['exercise', 'avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"[('acidity', 3), ('vomiting', 5), ('cough', 4), ('stomach_pain', 5), ('ulcers_on_tongue', 4)]","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",Limit caffeine and alcohol,"['exercise', 'avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"[('acidity', 3), ('vomiting', 5), ('cough', 4), ('stomach_pain', 5), ('ulcers_on_tongue', 4)]","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",Chew food thoroughly,"['exercise', 'avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"[('acidity', 3), ('vomiting', 5), ('cough', 4), ('stomach_pain', 5), ('ulcers_on_tongue', 4)]","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",Avoid late-night eating,"['exercise', 'avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"[('acidity', 3), ('vomiting', 5), ('cough', 4), ('stomach_pain', 5), ('ulcers_on_tongue', 4)]","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",Consume non-citrus fruits,"['exercise', 'avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"[('acidity', 3), ('vomiting', 5), ('cough', 4), ('stomach_pain', 5), ('ulcers_on_tongue', 4)]","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",Include lean proteins,"['exercise', 'avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"[('acidity', 3), ('vomiting', 5), ('cough', 4), ('stomach_pain', 5), ('ulcers_on_tongue', 4)]","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",Stay hydrated,"['exercise', 'avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight']"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"[('acidity', 3), ('vomiting', 5), ('cough', 4), ('stomach_pain', 5), ('ulcers_on_tongue', 4)]","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",Avoid carbonated beverages,"['exercise', 'avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"[('loss_of_appetite', 4), ('itching', 1), ('vomiting', 5), ('yellowish_skin', 3), ('nausea', 5)]","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Consume a low-fat diet,"['anti itch medicine', 'eat healthy', 'consult doctor', 'cold baths']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"[('loss_of_appetite', 4), ('itching', 1), ('vomiting', 5), ('yellowish_skin', 3), ('nausea', 5)]","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Eat high-fiber foods,"['anti itch medicine', 'eat healthy', 'consult doctor', 'cold baths']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"[('loss_of_appetite', 4), ('itching', 1), ('vomiting', 5), ('yellowish_skin', 3), ('nausea', 5)]","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Include healthy fats,"['anti itch medicine', 'eat healthy', 'consult doctor', 'cold baths']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"[('loss_of_appetite', 4), ('itching', 1), ('vomiting', 5), ('yellowish_skin', 3), ('nausea', 5)]","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Limit alcohol consumption,"['anti itch medicine', 'eat healthy', 'consult doctor', 'cold baths']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"[('loss_of_appetite', 4), ('itching', 1), ('vomiting', 5), ('yellowish_skin', 3), ('nausea', 5)]","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Stay hydrated,"['anti itch medicine', 'eat healthy', 'consult doctor', 'cold baths']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"[('loss_of_appetite', 4), ('itching', 1), ('vomiting', 5), ('yellowish_skin', 3), ('nausea', 5)]","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Consume antioxidant-rich foods,"['anti itch medicine', 'eat healthy', 'consult doctor', 'cold baths']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"[('loss_of_appetite', 4), ('itching', 1), ('vomiting', 5), ('yellowish_skin', 3), ('nausea', 5)]","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Include omega-3 fatty acids,"['anti itch medicine', 'eat healthy', 'consult doctor', 'cold baths']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"[('loss_of_appetite', 4), ('itching', 1), ('vomiting', 5), ('yellowish_skin', 3), ('nausea', 5)]","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Include lean proteins,"['anti itch medicine', 'eat healthy', 'consult doctor', 'cold baths']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"[('loss_of_appetite', 4), ('itching', 1), ('vomiting', 5), ('yellowish_skin', 3), ('nausea', 5)]","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Limit processed foods,"['anti itch medicine', 'eat healthy', 'consult doctor', 'cold baths']"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"[('loss_of_appetite', 4), ('itching', 1), ('vomiting', 5), ('yellowish_skin', 3), ('nausea', 5)]","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",Avoid fried foods,"['anti itch medicine', 'eat healthy', 'consult doctor', 'cold baths']"
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"[('spotting_ urination', 'Not Available'), ('itching', 1), ('burning_micturition', 6), ('skin_rash', 3), ('stomach_pain', 5)]","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Discontinue offending medication,"['consult nearest hospital', 'stop taking drug', 'follow up', 'stop irritation']"
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"[('spotting_ urination', 'Not Available'), ('itching', 1), ('burning_micturition', 6), ('skin_rash', 3), ('stomach_pain', 5)]","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Stay hydrated,"['consult nearest hospital', 'stop taking drug', 'follow up', 'stop irritation']"
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"[('spotting_ urination', 'Not Available'), ('itching', 1), ('burning_micturition', 6), ('skin_rash', 3), ('stomach_pain', 5)]","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Include anti-inflammatory foods,"['consult nearest hospital', 'stop taking drug', 'follow up', 'stop irritation']"
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"[('spotting_ urination', 'Not Available'), ('itching', 1), ('burning_micturition', 6), ('skin_rash', 3), ('stomach_pain', 5)]","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Consume antioxidants,"['consult nearest hospital', 'stop taking drug', 'follow up', 'stop irritation']"
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"[('spotting_ urination', 'Not Available'), ('itching', 1), ('burning_micturition', 6), ('skin_rash', 3), ('stomach_pain', 5)]","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Avoid trigger foods,"['consult nearest hospital', 'stop taking drug', 'follow up', 'stop irritation']"
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"[('spotting_ urination', 'Not Available'), ('itching', 1), ('burning_micturition', 6), ('skin_rash', 3), ('stomach_pain', 5)]","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Include omega-3 fatty acids,"['consult nearest hospital', 'stop taking drug', 'follow up', 'stop irritation']"
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"[('spotting_ urination', 'Not Available'), ('itching', 1), ('burning_micturition', 6), ('skin_rash', 3), ('stomach_pain', 5)]","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Limit caffeine and alcohol,"['consult nearest hospital', 'stop taking drug', 'follow up', 'stop irritation']"
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"[('spotting_ urination', 'Not Available'), ('itching', 1), ('burning_micturition', 6), ('skin_rash', 3), ('stomach_pain', 5)]","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Stay hydrated,"['consult nearest hospital', 'stop taking drug', 'follow up', 'stop irritation']"
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"[('spotting_ urination', 'Not Available'), ('itching', 1), ('burning_micturition', 6), ('skin_rash', 3), ('stomach_pain', 5)]","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Eat a balanced diet,"['consult nearest hospital', 'stop taking drug', 'follow up', 'stop irritation']"
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"[('spotting_ urination', 'Not Available'), ('itching', 1), ('burning_micturition', 6), ('skin_rash', 3), ('stomach_pain', 5)]","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",Consult a healthcare professional,"['consult nearest hospital', 'stop taking drug', 'follow up', 'stop irritation']"
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,Not Available,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']","Consume smaller, more frequent meals",[]
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,Not Available,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']","Avoid trigger foods (spicy, acidic)",[]
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,Not Available,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']",Include high-fiber foods,[]
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,Not Available,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']",Limit caffeine and alcohol,[]
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,Not Available,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']",Stay hydrated,[]
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,Not Available,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']",Consume probiotics,[]
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,Not Available,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']",Include lean proteins,[]
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,Not Available,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']",Include antioxidant-rich foods,[]
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,Not Available,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']",Limit processed foods,[]
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,Not Available,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']",Avoid smoking and alcohol,[]
